id,description
C-131/89,"Statoil / Commission (C-131/89) ECLI:EU:C:1989:519, see Case  T-93/89"
C-132/89,"Enichem / Commission (C-132/89) ECLI:EU:C:1989:520, see Case  T-94/89"
C-133/89,"Enichem / Commission (C-133/89) ECLI:EU:C:1989:521, see Case  T-95/89"
C-134/89,"Hoechst / Commission (C-134/89) ECLI:EU:C:1989:522, see Case  T-96/89"
C-135/89,"Hoechst / Commission (C-135/89) ECLI:EU:C:1989:523, see Case  T-97/89"
C-136/89,"Removed from the register on 13 February 1992, Hyundai Merchant Marine Company / Council (C-136/89) ECLI:EU:C:1992:68"
C-137/89,"Judgment of 14 March 1990, Commission / Italy (C-137/89, ECR 1990 p. I-847, Summ.pub.) ECLI:EU:C:1990:117"
C-138/89,"ICI / Commission (C-138/89) ECLI:EU:C:1989:524, see Case  T-98/89"
C-139/89,"ICI / Commission (C-139/89) ECLI:EU:C:1989:525, see Case  T-99/89"
C-140/89,"Neste Oy / Commission (C-140/89) ECLI:EU:C:1989:526, see Case  T-100/89"
C-141/89,"Repsol Quimica / Commission (C-141/89) ECLI:EU:C:1989:527, see Case  T-101/89"
C-142/89,"Shell / Commission (C-142/89) ECLI:EU:C:1989:528, see Case  T-102/89"
C-143/89,"Shell / Commission (C-143/89) ECLI:EU:C:1989:529, see Case  T-103/89"
C-144/89,"Removed from the register on 6 December 1989, Combarieu (C-144/89) ECLI:EU:C:1989:620"
C-145/89,"Removed from the register on 6 December 1989, Ariege Video (C-145/89) ECLI:EU:C:1989:621"
C-146/89,"Judgment of 9 July 1991, Commission / United Kingdom (C-146/89, ECR 1991 p. I-3533) ECLI:EU:C:1991:294"
C-147/89,"Montedison / Commission (C-147/89) ECLI:EU:C:1989:530, see Case  T-104/89"
C-148/89,"Montedison / Commission (C-148/89) ECLI:EU:C:1989:531, see Case  T-105/89"
C-149/89,"Norsk Hydro / Commission (C-149/89) ECLI:EU:C:1989:532, see Case  T-106/89"
C-150/89,"Chemie Holding / Commission (C-150/89) ECLI:EU:C:1989:533, see Case  T-107/89"
C-151/89,"Removed from the register on 4 October 1989, Commission / Italy (C-151/89) ECLI:EU:C:1989:361"
C-152/89,"Judgment of 26 June 1991, Commission / Luxembourg (C-152/89, ECR 1991 p. I-3141)          (SVXI/I-237 FIXI/I-249) ECLI:EU:C:1991:272"
C-153/89,"Judgment of 26 June 1991, Commission / Belgium (C-153/89, ECR 1991 p. I-3171) ECLI:EU:C:1991:273"
C-154/89,"Judgment of 26 February 1991, Commission / France (C-154/89, ECR 1991 p. I-659)          (SVXI/I-43 FIXI/I-55) ECLI:EU:C:1991:76"
C-155/89,"Judgment of 12 July 1990, Belgian State / Philipp Brothers (C-155/89, ECR 1990 p. I-3265) ECLI:EU:C:1990:312"
C-156/89,"Scheuer / Commission (C-156/89) ECLI:EU:C:1989:534, see Case  T-108/89"
C-157/89,"Judgment of 17 January 1991, Commission / Italy (C-157/89, ECR 1991 p. I-57) ECLI:EU:C:1991:22"
C-158/89,"Judgment of 17 May 1990, Weingut Dietz-Matti / Bundesamt für Ernährung und Forstwirtschaft (C-158/89, ECR 1990 p. I-2013) ECLI:EU:C:1990:215"
C-159/89,"Judgment of 26 February 1991, Commission / Greece (C-159/89, ECR 1991 p. I-691) ECLI:EU:C:1991:77"
C-160/89,"André / Commission (C-160/89) ECLI:EU:C:1989:535, see Case  T-109/89"
C-161/89,"Pincherle / Commission (C-161/89) ECLI:EU:C:1989:536, see Case  T-110/89"
C-162/89,"Judgment of 13 June 1990, Commission / Belgium (C-162/89, ECR 1990 p. I-2391, Summ.pub.) ECLI:EU:C:1990:246"
C-163/89,"Judgment of 10 May 1990, Office national de l'emploi / Di Conti (C-163/89, ECR 1990 p. I-1829) ECLI:EU:C:1990:196"
C-164/89,"Scheiber / Council (C-164/89) ECLI:EU:C:1989:537, see Case  T-111/89"
C-165/89,"Dow Chemical / Commission (C-165/89) ECLI:EU:C:1989:538, see Case  T-112/89"
C-166/89,"Nefarma / Commission (C-166/89) ECLI:EU:C:1989:539, see Case  T-113/89"
C-167/89,"VNZ / Commission (C-167/89) ECLI:EU:C:1989:540, see Case  T-114/89"
C-168/89,"Removed from the register on 28 September 1989, Caturla-Poch / Parliament (C-168/89) ECLI:EU:C:1989:355"
C-169/89,"Judgment of 23 May 1990, Van den Burg (C-169/89, ECR 1990 p. I-2143) ECLI:EU:C:1990:227"
C-170/89,"Judgment of 28 November 1991, BEUC / Commission (C-170/89, ECR 1991 p. I-5709)          (SVXI/I-495 FIXI/I-525) ECLI:EU:C:1991:450"
C-171/89 R,"Order of 13 June 1989, Gonzalez Holguera / Parliament (C-171/89 R, ECR 1989 p. 1705) ECLI:EU:C:1989:239"
C-171/89,"Gonzalez Holguera / Parliament (C-171/89) ECLI:EU:C:1989:541, see Case  T-115/89"
C-172/89,"Judgment of 12 December 1990, Vandemoortele / Commission (C-172/89, ECR 1990 p. I-4677) ECLI:EU:C:1990:457"
C-173/89,"Prodifarma / Commission (C-173/89) ECLI:EU:C:1989:542, see Case  T-116/89"
C-174/89,"Judgment of 28 June 1990, Hoche / BALM (C-174/89, ECR 1990 p. I-2681) ECLI:EU:C:1990:270"
C-175/89,"Sens / Commission (C-175/89) ECLI:EU:C:1989:543, see Case  T-117/89"
C-176/89,"Removed from the register on 19 June 1991, Commission / Italy (C-176/89) ECLI:EU:C:1991:259"
C-177/89,"Judgment of 19 June 1990, Commission / Italy (C-177/89, ECR 1990 p. I-2429, Summ.pub.) ECLI:EU:C:1990:256"
C-178/89,"Removed from the register on 10 May 1990, Cataldi (C-178/89) ECLI:EU:C:1990:197"
C-179/89,"Removed from the register on 18 October 1989, Farmaindustria (C-179/89) ECLI:EU:C:1989:390"
C-180/89,"Judgment of 26 February 1991, Commission / Italy (C-180/89, ECR 1991 p. I-709) ECLI:EU:C:1991:78"
C-181/89,"Removed from the register on 7 November 1990, Cunningham (C-181/89) ECLI:EU:C:1990:376"
C-182/89,"Judgment of 29 November 1990, Commission / France (C-182/89, ECR 1990 p. I-4337) ECLI:EU:C:1990:427"
C-183/89,"Removed from the register on 21 February 1995, Gesamtverband / Commission (C-183/89 and C-138/90) ECLI:EU:C:1995:46"
C-184/89,"Judgment of 7 February 1991, Nimz / Freie und Hansestadt Hamburg (C-184/89, ECR 1991 p. I-297) ECLI:EU:C:1991:50"
C-185/89,"Judgment of 26 June 1990, Staatssecretaris van Financiën / Velker International Oil Company (C-185/89, ECR 1990 p. I-2561) ECLI:EU:C:1990:262"
C-186/89,"Judgment of 4 December 1990, Van Tiem / Staatssecretaris van Financiën (C-186/89, ECR 1990 p. I-4363) ECLI:EU:C:1990:429"
C-187/89,"Removed from the register on 4 June 1991, Commission / Italy (C-187/89) ECLI:EU:C:1991:232"
C-188/89,"Judgment of 12 July 1990, Foster and others / British Gas (C-188/89, ECR 1990 p. I-3313)          (SVX/00479 FIX/00499) ECLI:EU:C:1990:313"
C-189/89,"Judgment of 11 December 1990, Spagl / Hauptzollamt Rosenheim (C-189/89, ECR 1990 p. I-4539) ECLI:EU:C:1990:450"
C-190/89,"Judgment of 25 July 1991, Rich / Società Italiana Impianti (C-190/89, ECR 1991 p. I-3855) ECLI:EU:C:1991:319"
C-191/89,"Removed from the register on 7 February 1991, Cargill (C-191/89) ECLI:EU:C:1991:51"
C-192/89,"Judgment of 20 September 1990, Sevince / Staatssecretaris van Justitie (C-192/89, ECR 1990 p. I-3461)          (SVX/00507 FIX/00529) ECLI:EU:C:1990:322"
C-193/89,"Removed from the register on 4 February 1992, Nitroven & Pequiven / Council (C-193/89) ECLI:EU:C:1992:50"
C-194/89,"Removed from the register on 4 July 1990, Chimen (C-194/89) ECLI:EU:C:1990:281"
C-195/89,"Hedeman / Commission (C-195/89) ECLI:EU:C:1989:544, see Case  T-118/89"
C-196/89,"Judgment of 11 October 1990, Nespoli and Crippa (C-196/89, ECR 1990 p. I-3647) ECLI:EU:C:1990:355"
C-197/89,"Dzodzi (C-197/89) , see Case  297/88"
C-198/89,"Judgment of 26 February 1991, Commission / Greece (C-198/89, ECR 1991 p. I-727) ECLI:EU:C:1991:79"
C-199/89,"Teissonnière / Commission (C-199/89) ECLI:EU:C:1989:545, see Case  T-119/89"
C-200/89,"Judgment of 11 October 1990, FUNOC / Commission (C-200/89, ECR 1990 p. I-3669) ECLI:EU:C:1990:356"
C-201/89,"Judgment of 22 March 1990, Le Pen and Front National / Puhl and others (C-201/89, ECR 1990 p. I-1183) ECLI:EU:C:1990:133"
C-202/89,"Removed from the register on 7 November 1990, Commission / United Kingdom (C-202/89) ECLI:EU:C:1990:377"
C-203/89,"Judgment of 20 September 1990, Van Landschoot / Mera (C-203/89, ECR 1990 p. I-3509) ECLI:EU:C:1990:323"
